Method / Architecture,Privacy Precision,Privacy Recall,Privacy F1,BLEU-4,ROUGE-L F1,Semantic Cosine Sim,BERTScore F1,Latency (sec)
Baseline: Rigid Redaction ([REDACTED]),0.7874,0.5427,0.6425,0.756,0.8753,0.8642,0.9356,42.211
Baseline: Microsoft Presidio (<TAGS>),0.5405,0.4831,0.5102,0.7858,0.8764,0.9337,0.9512,7.883
Proposed: Stage 1 (Direct PII + Surrogates),0.7897,0.5443,0.6444,0.7429,0.8483,0.9017,0.9592,43.398
Proposed: Two-Stage Architecture (Surrogates + Semantic SLM),0.7897,0.5443,0.6444,0.6411,0.7848,0.8758,0.9416,4008.921
